date,LPX,AAL,CR,DAL,DLX,LUV,RHI,SNA,URI,AAP,AZO,EXPE,KBH,NFLX,PCLN,PHM,SHLD,TIF,TSN,HCA,AFL,AIZ,AMP,BLK,ETFC,GNW,HIG,LNC,MET,NTRS,PFG,PRU,UNM,AKAM,BVSN,CVG,FB,GOOGL,IAC,ORCL,VIAV,S,DYN,CBG,HST,RLGY
8 05 1990,14,,11,,30.75,1.168721715,1.333333333,23.08333333,,,,,6.4375,,,1.0625,,5.125,10.04166667,,1.866666667,,,,,,,13.15625,,5.083333333,,,11.6875,,,,,,,0.441358025,,,,,22.625,
9 05 1990,14.125,,11.16666667,,31.375,1.141286933,1.3125,22.91666667,,,,,6.4375,,,1.0625,,5.0625,10.20833333,,1.866666667,,,,,,,13.34375,,5.166666667,,,11.625,,,,,,,0.447530864,,,,,23.125,
10 05 1990,14.16666667,,11.11111111,,31.375,1.13031302,1.302083333,22.75,,,,,6.3125,,,1.078125,,5.03125,10.45833333,,1.95,,,,,,,13.25,,5.291666667,,,11.96875,,,,,,,0.447530864,,,,,23.125,
11 05 1990,14.5,,11.33333333,,32,1.135799976,1.302083333,23.41666667,,,,,6.5,,,1.109375,,5.125,10.41666667,,2.033333333,,,,,,,13.6875,,5.416666667,,,12.09375,,,,,,,0.444444444,,,,,24.125,
14 05 1990,14.66666667,,11.44444444,,32.125,1.135799976,1.322916667,23.91666667,,,,,6.6875,,,1.15625,,5.28125,10.54166667,,1.983333333,,,,,,,13.9375,,5.333333333,,,12.4375,,,,,,,0.459876543,,,,,24.5,
15 05 1990,14.66666667,,11.16666667,,32,1.119339107,1.3125,23.91666667,,,,,6.6875,,,1.140625,,5.40625,10.45833333,,2.05,,,,,,,13.84375,,5.541666667,,,12.34375,,,,,,,0.462962963,,,,,24.5,
16 05 1990,14.66666667,,11.11111111,,31.625,1.124826063,1.3125,23.66666667,,,,,6.4375,,,1.125,,5.375,10.54166667,,2.033333333,,,,,,,13.84375,,5.520833333,,,12.34375,,,,,,,0.459876543,,,,,24.125,
17 05 1990,14.58333333,,11.16666667,,30.5,1.124826063,1.28125,23.83333333,,,,,6.4375,,,1.140625,,5.4375,10.70833333,,2.033333333,,,,,,,13.9375,,5.458333333,,,12.40625,,,,,,,0.450617284,,,,,24,
18 05 1990,14.66666667,,11.16666667,,30.875,1.119339107,1.25,23.5,,,,,6.5625,,,1.109375,,5.46875,10.70833333,,2,,,,,,,13.59375,,5.5,,,12.375,,,,,,,0.444444444,,,,,24.25,
21 05 1990,14.75,,11.27777778,,31.25,1.13031302,1.25,23.5,,,,,6.5625,,,1.125,,5.609375,10.91666667,,2.033333333,,,,,,,13.53125,,5.583333333,,,12.40625,,,,,,,0.459876543,,,,,24.5,
22 05 1990,14.83333333,,11.61111111,,31.875,1.141286933,1.25,23.75,,,,,6.625,,,1.109375,,5.65625,10.95833333,,2.033333333,,,,,,,13.375,,5.541666667,,,12.40625,,,,,,,0.462962963,,,,,24.5,
23 05 1990,14.875,,11.61111111,,32.375,1.135799976,1.25,23.75,,,,,6.4375,,,1.0625,,5.640625,11.16666667,,2,,,,,,,13.59375,,5.541666667,,,12.40625,,,,,,,0.487654321,,,,,24.25,
24 05 1990,14.83333333,,11.55555556,,32.5,1.135799976,1.239583333,23.66666667,,,,,6.25,,,1.078125,,5.6875,11.5,,2,,,,,,,13.6875,,5.458333333,,,12.375,,,,,,,0.478395062,,,,,24.25,
